Category,Product Name,Brand,Price (KSh),Original Price (KSh),Discount %,High Discount Flag,Rating,Review Count,Product URL,Scraped Date,Storage (GB),RAM (GB),Battery (mAh),Camera (MP),Rating Category,Price Category,Value Score
smart-watches,Oraimo Watch 6 Nano 1.52 TFT Full Touch Color Screen Smart Watch Black,Oraimo Watch 6 Nano 1.52 TFT Full Touch Color Screen Smart Watch Black,2001,5360,62.7,TRUE,4.7,0,https://www.jumia.co.ke/oraimo-watch-6-nano-1.52-tft-full-touch-color-screen-smart-watch-black-325611262.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.658
smart-watches,TiLECC Smart Watch Ultra 10 In1 Waterproof 7 Straps + Protective Case + Earphones Black,TiLECC Smart Watch Ultra 10 In1 Waterproof 7 Straps + Protective Case + Earphones Black,1407,3350,58,FALSE,4,0,https://www.jumia.co.ke/tilecc-smart-watch-ultra-10-in1-waterproof-7-straps-protective-case-earphones-black-326357016.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.574
smart-watches,"Oraimo Watch 6 2.04"" TFT IP68 Smart Watch","Oraimo Watch 6 2.04"" TFT IP68 Smart Watch",2672,6297,57.6,FALSE,4.5,0,https://www.jumia.co.ke/oraimo-watch-6-2.04-tft-ip68-smart-watch-326706412.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.623
smart-watches,Oraimo Watch Nova 2 2.01'' AMOLED screen Smart Watch,Oraimo Watch Nova 2 2.01'' AMOLED screen Smart Watch,5700,6030,5.5,FALSE,4.7,0,https://www.jumia.co.ke/oraimo-watch-nova-2-2.01-amoled-screen-smart-watch-325730826.html,07/26/26 13:54,,,,,Excellent,Entry (5k-15k),0.487
smart-watches,Oraimo Watch Lumos N 2.01'' HD Display IP68 Smart Watch,Oraimo Watch Lumos N 2.01'' HD Display IP68 Smart Watch,2001,3216,37.8,FALSE,4.8,0,https://www.jumia.co.ke/oraimo-watch-lumos-n-2.01-hd-display-ip68-smart-watch-326065119.html,07/26/26 13:54,,,,,Excellent,Budget (<5k),0.593
smart-watches,2.2’HD Pink Square Women's Sports Smartwatch For Fitness Data Tracking,2.2’HD Pink Square Women's Sports Smartwatch  For Fitness Data Tracking,1072,1608,33.3,FALSE,0,0,https://www.jumia.co.ke/generic-2.2hd-pink-square-womens-sports-smartwatch-for-fitness-data-tracking-325699401.html,07/26/26 13:54,,,,,No Rating,Budget (<5k),0.1
smart-watches,"Itel Smart Watch Horizon Smartwatch N8 Grey + TWS BudsAir 3, 1.43"" Curved Amoled, 360mAh, 5 - 7 days usage, waterproof IP68","Itel Smart Watch Horizon Smartwatch N8 Grey + TWS BudsAir 3, 1.43"" Curved Amoled, 360mAh, 5 - 7 days usage, waterproof IP68",5499,10000,45,FALSE,4.8,0,https://www.jumia.co.ke/itel-smart-watch-horizon-smartwatch-n8-grey-tws-budsair-3-1.43-curved-amoled-360mah-5-7-days-usage-waterproof-ip68-326074811.html,07/26/26 13:54,,,360,,Excellent,Entry (5k-15k),0.615
smart-watches,Full Touch Smart Watch Waterproof Sports Fitness For Apple IOS Android,Full Touch Smart Watch Waterproof Sports Fitness For Apple IOS Android,603,1072,43.8,FALSE,3.3,0,https://www.jumia.co.ke/generic-full-touch-smart-watch-waterproof-sports-fitness-for-apple-ios-android-325644911.html,07/26/26 13:54,,,,,Average,Budget (<5k),0.461
smart-watches,RichRipple RichRipple AS1 2.0 inch Smart Watch 6 in 1 Set of Fine Luxury Gift Gold,RichRipple RichRipple AS1 2.0 inch Smart Watch 6 in 1 Set of Fine Luxury Gift Gold,969,1934,49.9,FALSE,3.8,0,https://www.jumia.co.ke/richripple-richripple-as1-2.0-inch-smart-watch-6-in-1-set-of-fine-luxury-gift-gold-292581048.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.53
smart-watches,ZL02 Smart Watch H Full S Reen Sport Fitness Wat H IP67 Waterproof Wat H-black,ZL02 Smart Watch H Full S Reen Sport Fitness Wat H IP67 Waterproof Wat H-black,2010,2948,31.8,FALSE,4.4,0,https://www.jumia.co.ke/generic-zl02-smart-watch-h-full-s-reen-sport-fitness-wat-h-ip67-waterproof-wat-h-black-87832573.html,07/26/26 13:54,,,,,Good,Budget (<5k),0.535
